ID; Balloon; Boom; Boom_limit; Presses; Stars; Tot_Stars
8;1;0;14;5;5;5
8;2;0;22;2;2;7
8;3;0;26;2;2;9
8;4;0;29;2;2;11
8;5;0;10;2;2;13
8;6;0;15;2;2;15
8;7;0;17;2;2;17
8;8;0;9;2;2;19
8;9;0;6;2;2;21
8;10;0;25;1;1;22
8;11;0;4;1;1;23
8;12;1;1;1;0;23
8;13;0;32;1;1;24
8;14;1;1;1;0;24
8;15;0;29;1;1;25
8;16;0;26;1;1;26
8;17;0;8;1;1;27
8;18;0;8;1;1;28
8;19;0;17;1;1;29
8;20;0;13;1;1;30
8;21;0;27;1;1;31
8;22;0;23;1;1;32
8;23;0;28;1;1;33
8;24;0;5;1;1;34
8;25;0;12;1;1;35
8;26;0;31;1;1;36
8;27;0;4;1;1;37
8;28;0;4;1;1;38
8;29;0;20;1;1;39
8;30;0;14;1;1;40
ID; Balloon; Boom; Boom_limit; Presses; Stars; Tot_Stars
ID; Balloon; Boom; Boom_limit; Presses; Stars; Tot_Stars
